index,Items,Estimate_Score
31,B2266595,5.0
44,B9054495,5.0
41,BL42Q166,5.0
11,RK733168,4.9751073345703025
23,BI81252A,4.937602181034804
1,RK808168,4.894908334354897
35,B2250495,4.894685015015498
13,EY201D15,4.892430064263772
25,RK732168,4.8877447249165
10,EY201815,4.878658620424279
7,BL967B66,4.876131897755751
3,CCWCW2-04,4.875202120407432
17,CCWCW3-08,4.8628637663671554
14,H9109014,4.862498190853138
153,K2213204,4.8527092459816705
82,RK224168,4.852066053172948
42,CCWCW2-09,4.848444477761813
9,G1436405,4.840510526681538
117,B2260295,4.837134212104224
73,B2266695,4.833375338567891
146,B2240596,4.815348510316498
136,KI431D10,4.8037724659967855
69,B2250295,4.803292029365255
88,Others,4.788728632322497
28,CCWCW2-07,4.785915593980777
61,G1436606,4.767039212131429
71,G1431905,4.7645792619285325
4,EY401D15,4.75588917918019
77,CCWCW2-06,4.744159294360119
123,G1350296,4.70871484673416
43,CY601868,4.705414477658617
6,EY701D15,4.682813668544228
46,CCWCW3-05,4.677275931145498
148,MB520138,4.655723845942772
12,ZC150838,4.646121813202693
8,CCWCW3-012,4.621953617606032
26,CCWCW3-02,4.608404683443869
20,G1432305,4.5753199498785655
24,G1430405,4.537589498897573
