,Product Name,Product ID,Product Visitors,Product Pageviews,Add to Cart Visitors,Add to Cart Units,Wishlist Visitors,Wishlists,Buyers,Orders,Units Sold,Revenue,Rating,emotion-int,_merge
155,"Nồi chiên không dầu điện tử XL 4.2L, Tefal EY401D15 -Công suất 1500W- nướng gà nguyên con không cần trở, lòng nồi bằng thép không rỉ phủ chống dính, -Bảo hành 24 tháng-Hàng chính hãng-Thương hiệu Pháp",854036295,195526,635372,22228,28778,5859,6065,4826,5547,5580,13666050290,4.891598916,0.542682927,both
172,"Máy làm sữa hạt, xay sinh tố và nấu đa năng Tefal BL967B66 - Bảo hành 24 tháng - Hàng chính hãng - Thương hiệu Pháp",878868949,150511,454671,12637,16337,4925,5024,3701,4254,4302,10908473460,4.888888889,0.513888889,both
209,"Nồi chiên không dầu cơ XL 4.2L, Tefal EY201815-Công suất 1500W-Lòng nồi bằng thép không rỉ phủ chống dính, nướng gà nguyên con không cần trở, gian hàng chính hãng bảo hành 24 tháng",1071274457,149007,459843,14587,18571,4460,4568,3198,3672,3704,6989100047,4.9140625,0.59765625,both
200,"Bộ 3 nồi chảo chống dính đáy từ cao cấp Tefal So Chef, dùng cho mọi loại bếp, gồm chảo chiên 21cm & Nồi 22cm & Chảo 24cm sâu lòng, hàng chính hãng, bảo hành 2 năm",1020164438,148806,365023,6873,8794,2888,2926,2188,2470,2504,1892270993,4.844690967,0.47385103,both
145,"Bộ 2 chảo chống dính vân đá Tefal Natura, dùng cho bếp ga và hồng ngoại , gồm chảo chiên 24cm & xhảo chiên sâu lòng 26cm, hàng chính hãng bảo hành 2 năm",804144679,123108,345452,15301,18688,6089,6134,5243,5680,5832,2036455816,4.882460973,0.470156107,both
184,"Bộ 3 chảo chống dính vân đá Tefal Natura- chảo chiên 20cm-24cm & chảo chiên sâu lòng 24cm, dùng cho bếp ga và bếp hồng ngoại, hàng chính hãng bảo hành 2 năm",917960724,109555,318298,12529,15375,5299,5342,4327,4788,4929,2219469541,4.880392157,0.520588235,both
251,"Máy xay nấu đa năng và làm sữa hạt Tefal BL985A31, 1300W, 1.75L - Lưỡi dao 6 cánh tốc độ cao - Không cần lọc lại - 2 cối - 10 menu nấu đa dạng, hàng chính hãng bảo hành 2 năm",1259252215,101519,234628,2769,3592,753,783,385,435,448,3318753980,4.914285714,0.4,both
174,Nồi áp suất điện Tefal CY601868 6l - Bảo Hành 12 tháng - Hàng chính hãng,878986913,94290,329273,9880,12972,4335,4445,3763,4218,4280,7322422182,4.835820896,0.534825871,both
197,"Nồi cơm điện tử Tefal Fuzzy logic RK733168 - 1.8L- Lòng nồi niêu vân đá chống chính, menu tiếng Việt, 8 chức năng nấu, hàng chính hãng bảo hành 2 năm",996170912,91965,277943,8540,10695,3119,3157,2348,2612,2630,2412431196,4.8585209,0.5,both
183,"Bộ 3 chảo chống dính vân đá Tefal Natura dùng cho bếp ga, bếp hồng ngoại (20cm, 24cm, 24cm) - Gian hàng chính hãng bảo hành 2 năm-BO3NAT1",917960724,78443,200932,8392,10192,2529,2643,2178,2413,2513,1162398162,4.880392157,0.520588235,both
207,"Nồi chiên không dầu điện tử vỏ thép XXL 5.6L Tefal EY701D15- Giỏ chiên chống dính, không cần lật trở, Công suất 1850W, chính hãng bảo hành 24 tháng",1070478372,76436,247337,10409,13297,2140,2205,1690,1922,1942,6433726163,4.884520885,0.574938575,both
165,"Nồi chiên không dầu cơ vỏ thép XL 4.2L, Tefal EY201D15, không cần trở, giỏ chiên chống dính, nướng gà nguyên con, dễ vệ sinh , chính hãng bảo hành 2 năm",872812108,64788,186133,10162,11898,1562,1597,1117,1205,1214,2428354101,4.854330709,0.669291339,both
87,"Chảo chiên chống dính Tefal Light & Clean 26cm, dùng cho bếp ga và hồng ngoại, hàng chính hãng bảo hành 2 năm",700404651,57712,161646,8031,9758,4707,4774,4312,4685,4850,549985960,4.834951456,0.561165049,both
144,"Bộ 2 chảo chống dính vân đá Tefal Natura dùng cho bếp ga và hồng ngoại (24cm, 26cm) - Gian hàng chính hãng bảo hành 2 năm-BO2NAT2",804144679,55792,130943,4135,4911,1237,1299,1041,1116,1151,425069382,4.882460973,0.470156107,both
59,"Chảo chiên sâu lòng chống dính đày từ Tefal Sensations 28 cm, dùng cho mọi loại bếp, chính hãng bảo hành 2 năm",592156642,47609,117128,4115,5103,2284,2308,1895,2094,2161,448525426,4.895238095,0.587301587,both
495,"Bộ nồi chảo cán rời chống dính Tefal Ingenio L6759522 sản xuất tại Pháp (Chảo 26cm, chảo xào 26cm, nồi và nắp 16cm, cán rời), dùng cho mọi loại bếp - Gian hàng chính hãng bảo hành 2 năm",1704761059,46018,88424,1654,1895,374,390,191,222,223,718100319,4.84,0.526315789,left_only
86,"Nồi cơm điện tử cao tần Tefal RK808168 1.5L, lòng nồi niêu chống dính, 16 chức năng, nầu cơm cháy , 1200W, chính hãng bảo hành 2 năm",654896497,45078,143395,4067,5025,1307,1325,1004,1148,1149,1941747704,4.86631016,0.486631016,both
182,"Bộ 2 chảo chống dính đáy từ Tefal Day by day, dùng mọi loại bếp, gồm chảo chiên 24cm & chảo xào 26cm, hàng chính hãng bảo hành 2 năm",912744259,44756,112050,4294,5213,1761,1766,1393,1501,1521,639588965,4.729344729,0.438746439,both
88,"Chảo chiên chống dính Tefal Light & Clean 26cm, dùng cho bếp ga và hồng ngoại- Gian hàng chính hãng bảo hành 2 năm-B2240595",700404651,43970,134782,6527,7942,2529,2574,2209,2372,2837,466238110,4.834951456,0.561165049,both
